zone_id,bn_prob,eta_min,severity,action,scored_at
stage-out,0.444,,normal,,1772553301664
dock-c,0.298,,normal,,1772553301664
dock-d,0.328,,normal,,1772553301664
dock-a,0.197,,normal,,1772553305664
dock-b,0.239,,normal,,1772553305664
stage-in,0.185,,normal,,1772553305664
aisle-1-4,0.427,,normal,,1772553305664
aisle-5-8,0.345,,normal,,1772553305664
aisle-9-12,0.387,,normal,,1772553305664
pick-a,0.328,,normal,,1772553305664
pick-b,0.545,14.4,elevated,,1772553305664
pack,0.294,,normal,,1772553305664
stage-out,0.361,,normal,,1772553305664
dock-c,0.295,,normal,,1772553305664
dock-d,0.268,,normal,,1772553305664
dock-a,0.157,,normal,,1772553309664
dock-b,0.187,,normal,,1772553309664
stage-in,0.239,,normal,,1772553309664
aisle-1-4,0.399,,normal,,1772553309664
aisle-5-8,0.24,,normal,,1772553309664
aisle-9-12,0.458,16.6,normal,,1772553309664
pick-a,0.337,,normal,,1772553309664
pick-b,0.538,14.5,elevated,,1772553309664
pack,0.365,,normal,,1772553309664
stage-out,0.4,,normal,,1772553309664
dock-c,0.278,,normal,,1772553309664
dock-d,0.283,,normal,,1772553309664
dock-a,0.241,,normal,,1772553313664
dock-b,0.148,,normal,,1772553313664
stage-in,0.244,,normal,,1772553313664
aisle-1-4,0.473,16.2,normal,,1772553313664
aisle-5-8,0.19,,normal,,1772553313664
aisle-9-12,0.392,,normal,,1772553313664
pick-a,0.291,,normal,,1772553313664
pick-b,0.489,15.8,normal,,1772553313664
pack,0.299,,normal,,1772553313664
stage-out,0.397,,normal,,1772553313664
dock-c,0.289,,normal,,1772553313664
dock-d,0.255,,normal,,1772553313664
dock-a,0.16,,normal,,1772553317664
dock-b,0.185,,normal,,1772553317664
stage-in,0.197,,normal,,1772553317664
aisle-1-4,0.427,,normal,,1772553317664
aisle-5-8,0.197,,normal,,1772553317664
aisle-9-12,0.432,,normal,,1772553317664
pick-a,0.305,,normal,,1772553317664
pick-b,0.528,14.8,elevated,,1772553317664
pack,0.348,,normal,,1772553317664
stage-out,0.316,,normal,,1772553317664
dock-c,0.217,,normal,,1772553317664
dock-d,0.363,,normal,,1772553317664
dock-a,0.191,,normal,,1772553321664
dock-b,0.179,,normal,,1772553321664
stage-in,0.215,,normal,,1772553321664
aisle-1-4,0.456,16.6,normal,,1772553321664
aisle-5-8,0.109,,normal,,1772553321664
aisle-9-12,0.391,,normal,,1772553321664
pick-a,0.257,,normal,,1772553321664
pick-b,0.494,15.7,normal,,1772553321664
pack,0.312,,normal,,1772553321664
stage-out,0.397,,normal,,1772553321664
dock-c,0.266,,normal,,1772553321664
dock-d,0.348,,normal,,1772553321664
dock-a,0.194,,normal,,1772553325664
dock-b,0.14,,normal,,1772553325664
stage-in,0.211,,normal,,1772553325664
aisle-1-4,0.409,,normal,,1772553325664
aisle-5-8,0.196,,normal,,1772553325664
aisle-9-12,0.394,,normal,,1772553325664
pick-a,0.283,,normal,,1772553325664
pick-b,0.526,14.8,elevated,,1772553325664
pack,0.354,,normal,,1772553325664
stage-out,0.379,,normal,,1772553325664
dock-c,0.225,,normal,,1772553325664
dock-d,0.368,,normal,,1772553325664
dock-a,0.225,,normal,,1772553329664
dock-b,0.154,,normal,,1772553329664
stage-in,0.253,,normal,,1772553329664
aisle-1-4,0.428,,normal,,1772553329664
aisle-5-8,0.128,,normal,,1772553329664
aisle-9-12,0.428,,normal,,1772553329664
pick-a,0.28,,normal,,1772553329664
pick-b,0.593,13.2,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553329664
pack,0.349,,normal,,1772553329664
stage-out,0.402,,normal,,1772553329664
dock-c,0.247,,normal,,1772553329664
dock-d,0.343,,normal,,1772553329664
dock-a,0.224,,normal,,1772553333664
dock-b,0.133,,normal,,1772553333664
stage-in,0.236,,normal,,1772553333664
aisle-1-4,0.387,,normal,,1772553333664
aisle-5-8,0.103,,normal,,1772553333664
aisle-9-12,0.487,15.8,normal,,1772553333664
pick-a,0.301,,normal,,1772553333664
pick-b,0.552,14.2,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553333664
pack,0.372,,normal,,1772553333664
stage-out,0.406,,normal,,1772553333664
dock-c,0.181,,normal,,1772553333664
dock-d,0.381,,normal,,1772553333664
dock-a,0.281,,normal,,1772553337664
dock-b,0.179,,normal,,1772553337664
stage-in,0.274,,normal,,1772553337664
aisle-1-4,0.408,,normal,,1772553337664
aisle-5-8,0.135,,normal,,1772553337664
aisle-9-12,0.574,13.7,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553337664
pick-a,0.307,,normal,,1772553337664
pick-b,0.579,13.5,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553337664
pack,0.322,,normal,,1772553337664
stage-out,0.443,,normal,,1772553337664
dock-c,0.129,,normal,,1772553337664
dock-d,0.444,,normal,,1772553337664
dock-a,0.233,,normal,,1772553341664
dock-b,0.175,,normal,,1772553341664
stage-in,0.283,,normal,,1772553341664
aisle-1-4,0.409,,normal,,1772553341664
aisle-5-8,0.154,,normal,,1772553341664
aisle-9-12,0.555,14.1,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553341664
pick-a,0.368,,normal,,1772553341664
pick-b,0.515,15.1,elevated,,1772553341664
pack,0.336,,normal,,1772553341664
stage-out,0.36,,normal,,1772553341664
dock-c,0.164,,normal,,1772553341664
dock-d,0.366,,normal,,1772553341664
dock-a,0.321,,normal,,1772553345664
dock-b,0.179,,normal,,1772553345664
stage-in,0.274,,normal,,1772553345664
aisle-1-4,0.35,,normal,,1772553345664
aisle-5-8,0.196,,normal,,1772553345664
aisle-9-12,0.631,12.2,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553345664
pick-a,0.361,,normal,,1772553345664
pick-b,0.509,15.3,elevated,,1772553345664
pack,0.269,,normal,,1772553345664
stage-out,0.418,,normal,,1772553345664
dock-c,0.227,,normal,,1772553345664
dock-d,0.415,,normal,,1772553345664
dock-a,0.272,,normal,,1772553349664
dock-b,0.159,,normal,,1772553349664
stage-in,0.233,,normal,,1772553349664
aisle-1-4,0.378,,normal,,1772553349664
aisle-5-8,0.204,,normal,,1772553349664
aisle-9-12,0.665,11.4,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553349664
pick-a,0.304,,normal,,1772553349664
pick-b,0.538,14.5,elevated,,1772553349664
pack,0.204,,normal,,1772553349664
stage-out,0.453,16.7,normal,,1772553349664
dock-c,0.147,,normal,,1772553349664
dock-d,0.416,,normal,,1772553349664
dock-a,0.26,,normal,,1772553353664
dock-b,0.156,,normal,,1772553353664
stage-in,0.264,,normal,,1772553353664
aisle-1-4,0.325,,normal,,1772553353664
aisle-5-8,0.235,,normal,,1772553353664
aisle-9-12,0.519,15.0,elevated,,1772553353664
pick-a,0.285,,normal,,1772553353664
pick-b,0.522,14.9,elevated,,1772553353664
pack,0.245,,normal,,1772553353664
stage-out,0.409,,normal,,1772553353664
dock-c,0.162,,normal,,1772553353664
dock-d,0.435,,normal,,1772553353664
dock-a,0.28,,normal,,1772553357664
dock-b,0.258,,normal,,1772553357664
stage-in,0.272,,normal,,1772553357664
aisle-1-4,0.349,,normal,,1772553357664
aisle-5-8,0.276,,normal,,1772553357664
aisle-9-12,0.514,15.2,elevated,,1772553357664
pick-a,0.239,,normal,,1772553357664
pick-b,0.588,13.3,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553357664
pack,0.222,,normal,,1772553357664
stage-out,0.377,,normal,,1772553357664
dock-c,0.198,,normal,,1772553357664
dock-d,0.338,,normal,,1772553357664
dock-a,0.331,,normal,,1772553361664
dock-b,0.218,,normal,,1772553361664
stage-in,0.181,,normal,,1772553361664
aisle-1-4,0.263,,normal,,1772553361664
aisle-5-8,0.223,,normal,,1772553361664
aisle-9-12,0.598,13.1,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553361664
pick-a,0.302,,normal,,1772553361664
pick-b,0.576,13.6,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553361664
pack,0.259,,normal,,1772553361664
stage-out,0.393,,normal,,1772553361664
dock-c,0.144,,normal,,1772553361664
dock-d,0.408,,normal,,1772553361664
dock-a,0.238,,normal,,1772553365664
dock-b,0.203,,normal,,1772553365664
stage-in,0.218,,normal,,1772553365664
aisle-1-4,0.313,,normal,,1772553365664
aisle-5-8,0.326,,normal,,1772553365664
aisle-9-12,0.52,15.0,elevated,,1772553365664
pick-a,0.257,,normal,,1772553365664
pick-b,0.549,14.3,elevated,,1772553365664
pack,0.24,,normal,,1772553365664
stage-out,0.421,,normal,,1772553365664
dock-c,0.109,,normal,,1772553365664
dock-d,0.388,,normal,,1772553365664
dock-a,0.271,,normal,,1772553369664
dock-b,0.161,,normal,,1772553369664
stage-in,0.223,,normal,,1772553369664
aisle-1-4,0.312,,normal,,1772553369664
aisle-5-8,0.3,,normal,,1772553369664
aisle-9-12,0.426,,normal,,1772553369664
pick-a,0.221,,normal,,1772553369664
pick-b,0.574,13.7,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553369664
pack,0.209,,normal,,1772553369664
stage-out,0.412,,normal,,1772553369664
dock-c,0.166,,normal,,1772553369664
dock-d,0.455,16.6,normal,,1772553369664
dock-a,0.261,,normal,,1772553373664
dock-b,0.224,,normal,,1772553373664
stage-in,0.152,,normal,,1772553373664
aisle-1-4,0.274,,normal,,1772553373664
aisle-5-8,0.329,,normal,,1772553373664
aisle-9-12,0.523,14.9,elevated,,1772553373664
pick-a,0.275,,normal,,1772553373664
pick-b,0.58,13.5,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553373664
pack,0.249,,normal,,1772553373664
stage-out,0.434,,normal,,1772553373664
dock-c,0.144,,normal,,1772553373664
dock-d,0.375,,normal,,1772553373664
dock-a,0.228,,normal,,1772553377664
dock-b,0.163,,normal,,1772553377664
stage-in,0.203,,normal,,1772553377664
aisle-1-4,0.331,,normal,,1772553377664
aisle-5-8,0.24,,normal,,1772553377664
aisle-9-12,0.522,14.9,elevated,,1772553377664
pick-a,0.271,,normal,,1772553377664
pick-b,0.492,15.7,normal,,1772553377664
pack,0.226,,normal,,1772553377664
stage-out,0.432,,normal,,1772553377664
dock-c,0.122,,normal,,1772553377664
dock-d,0.332,,normal,,1772553377664
dock-a,0.16,,normal,,1772553381664
dock-b,0.177,,normal,,1772553381664
stage-in,0.154,,normal,,1772553381664
aisle-1-4,0.277,,normal,,1772553381664
aisle-5-8,0.173,,normal,,1772553381664
aisle-9-12,0.554,14.1,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553381664
pick-a,0.284,,normal,,1772553381664
pick-b,0.535,14.6,elevated,,1772553381664
pack,0.252,,normal,,1772553381664
stage-out,0.452,16.7,normal,,1772553381664
dock-c,0.122,,normal,,1772553381664
dock-d,0.429,,normal,,1772553381664
dock-a,0.173,,normal,,1772553385664
dock-b,0.13,,normal,,1772553385664
stage-in,0.257,,normal,,1772553385664
aisle-1-4,0.291,,normal,,1772553385664
aisle-5-8,0.219,,normal,,1772553385664
aisle-9-12,0.514,15.2,elevated,,1772553385664
pick-a,0.315,,normal,,1772553385664
pick-b,0.546,14.3,elevated,,1772553385664
pack,0.299,,normal,,1772553385664
stage-out,0.482,16.0,normal,,1772553385664
dock-c,0.186,,normal,,1772553385664
dock-d,0.381,,normal,,1772553385664
dock-a,0.283,,normal,,1772553389664
dock-b,0.208,,normal,,1772553389664
stage-in,0.265,,normal,,1772553389664
aisle-1-4,0.291,,normal,,1772553389664
aisle-5-8,0.208,,normal,,1772553389664
aisle-9-12,0.492,15.7,normal,,1772553389664
pick-a,0.288,,normal,,1772553389664
pick-b,0.426,,normal,,1772553389664
pack,0.239,,normal,,1772553389664
stage-out,0.494,15.7,normal,,1772553389664
dock-c,0.19,,normal,,1772553389664
dock-d,0.382,,normal,,1772553389664
dock-a,0.264,,normal,,1772553393664
dock-b,0.162,,normal,,1772553393664
stage-in,0.307,,normal,,1772553393664
aisle-1-4,0.297,,normal,,1772553393664
aisle-5-8,0.23,,normal,,1772553393664
aisle-9-12,0.539,14.5,elevated,,1772553393664
pick-a,0.323,,normal,,1772553393664
pick-b,0.461,16.5,normal,,1772553393664
pack,0.25,,normal,,1772553393664
stage-out,0.476,16.1,normal,,1772553393664
dock-c,0.147,,normal,,1772553393664
dock-d,0.319,,normal,,1772553393664
dock-a,0.247,,normal,,1772553397664
dock-b,0.201,,normal,,1772553397664
stage-in,0.209,,normal,,1772553397664
aisle-1-4,0.319,,normal,,1772553397664
aisle-5-8,0.111,,normal,,1772553397664
aisle-9-12,0.624,12.4,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553397664
pick-a,0.28,,normal,,1772553397664
pick-b,0.401,,normal,,1772553397664
pack,0.268,,normal,,1772553397664
stage-out,0.433,,normal,,1772553397664
dock-c,0.168,,normal,,1772553397664
dock-d,0.31,,normal,,1772553397664
dock-a,0.257,,normal,,1772553401664
dock-b,0.167,,normal,,1772553401664
stage-in,0.298,,normal,,1772553401664
aisle-1-4,0.283,,normal,,1772553401664
aisle-5-8,0.158,,normal,,1772553401664
aisle-9-12,0.545,14.4,elevated,,1772553401664
pick-a,0.336,,normal,,1772553401664
pick-b,0.413,,normal,,1772553401664
pack,0.267,,normal,,1772553401664
stage-out,0.487,15.8,normal,,1772553401664
dock-c,0.143,,normal,,1772553401664
dock-d,0.299,,normal,,1772553401664
dock-a,0.248,,normal,,1772553405664
dock-b,0.198,,normal,,1772553405664
stage-in,0.224,,normal,,1772553405664
aisle-1-4,0.285,,normal,,1772553405664
aisle-5-8,0.168,,normal,,1772553405664
aisle-9-12,0.558,14.0,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553405664
pick-a,0.339,,normal,,1772553405664
pick-b,0.399,,normal,,1772553405664
pack,0.219,,normal,,1772553405664
stage-out,0.499,15.5,normal,,1772553405664
dock-c,0.192,,normal,,1772553405664
dock-d,0.276,,normal,,1772553405664
dock-a,0.201,,normal,,1772553409664
dock-b,0.179,,normal,,1772553409664
stage-in,0.253,,normal,,1772553409664
aisle-1-4,0.331,,normal,,1772553409664
aisle-5-8,0.162,,normal,,1772553409664
aisle-9-12,0.58,13.5,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553409664
pick-a,0.349,,normal,,1772553409664
pick-b,0.404,,normal,,1772553409664
pack,0.265,,normal,,1772553409664
stage-out,0.408,,normal,,1772553409664
dock-c,0.167,,normal,,1772553409664
dock-d,0.249,,normal,,1772553409664
dock-a,0.212,,normal,,1772553413664
dock-b,0.26,,normal,,1772553413664
stage-in,0.286,,normal,,1772553413664
aisle-1-4,0.29,,normal,,1772553413664
aisle-5-8,0.106,,normal,,1772553413664
aisle-9-12,0.634,12.2,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553413664
pick-a,0.37,,normal,,1772553413664
pick-b,0.367,,normal,,1772553413664
pack,0.223,,normal,,1772553413664
stage-out,0.369,,normal,,1772553413664
dock-c,0.182,,normal,,1772553413664
dock-d,0.262,,normal,,1772553413664
dock-a,0.214,,normal,,1772553417664
dock-b,0.282,,normal,,1772553417664
stage-in,0.28,,normal,,1772553417664
aisle-1-4,0.37,,normal,,1772553417664
aisle-5-8,0.141,,normal,,1772553417664
aisle-9-12,0.557,14.1,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553417664
pick-a,0.395,,normal,,1772553417664
pick-b,0.336,,normal,,1772553417664
pack,0.318,,normal,,1772553417664
stage-out,0.383,,normal,,1772553417664
dock-c,0.176,,normal,,1772553417664
dock-d,0.183,,normal,,1772553417664
dock-a,0.202,,normal,,1772553421664
dock-b,0.224,,normal,,1772553421664
stage-in,0.291,,normal,,1772553421664
aisle-1-4,0.36,,normal,,1772553421664
aisle-5-8,0.129,,normal,,1772553421664
aisle-9-12,0.618,12.6,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553421664
pick-a,0.374,,normal,,1772553421664
pick-b,0.306,,normal,,1772553421664
pack,0.3,,normal,,1772553421664
stage-out,0.334,,normal,,1772553421664
dock-c,0.191,,normal,,1772553421664
dock-d,0.249,,normal,,1772553421664
dock-a,0.248,,normal,,1772553425664
dock-b,0.191,,normal,,1772553425664
stage-in,0.328,,normal,,1772553425664
aisle-1-4,0.404,,normal,,1772553425664
aisle-5-8,0.167,,normal,,1772553425664
aisle-9-12,0.525,14.9,elevated,,1772553425664
pick-a,0.386,,normal,,1772553425664
pick-b,0.366,,normal,,1772553425664
pack,0.352,,normal,,1772553425664
stage-out,0.314,,normal,,1772553425664
dock-c,0.214,,normal,,1772553425664
dock-d,0.206,,normal,,1772553425664
dock-a,0.259,,normal,,1772553429664
dock-b,0.159,,normal,,1772553429664
stage-in,0.296,,normal,,1772553429664
aisle-1-4,0.321,,normal,,1772553429664
aisle-5-8,0.234,,normal,,1772553429664
aisle-9-12,0.545,14.4,elevated,,1772553429664
pick-a,0.391,,normal,,1772553429664
pick-b,0.39,,normal,,1772553429664
pack,0.356,,normal,,1772553429664
stage-out,0.301,,normal,,1772553429664
dock-c,0.218,,normal,,1772553429664
dock-d,0.188,,normal,,1772553429664
dock-a,0.164,,normal,,1772553433664
dock-b,0.21,,normal,,1772553433664
stage-in,0.362,,normal,,1772553433664
aisle-1-4,0.323,,normal,,1772553433664
aisle-5-8,0.25,,normal,,1772553433664
aisle-9-12,0.485,15.9,normal,,1772553433664
pick-a,0.359,,normal,,1772553433664
pick-b,0.385,,normal,,1772553433664
pack,0.341,,normal,,1772553433664
stage-out,0.31,,normal,,1772553433664
dock-c,0.182,,normal,,1772553433664
dock-d,0.223,,normal,,1772553433664
dock-a,0.215,,normal,,1772553437664
dock-b,0.219,,normal,,1772553437664
stage-in,0.374,,normal,,1772553437664
aisle-1-4,0.405,,normal,,1772553437664
aisle-5-8,0.255,,normal,,1772553437664
aisle-9-12,0.437,,normal,,1772553437664
pick-a,0.312,,normal,,1772553437664
pick-b,0.389,,normal,,1772553437664
pack,0.334,,normal,,1772553437664
stage-out,0.27,,normal,,1772553437664
dock-c,0.141,,normal,,1772553437664
dock-d,0.227,,normal,,1772553437664
dock-a,0.217,,normal,,1772553441664
dock-b,0.247,,normal,,1772553441664
stage-in,0.375,,normal,,1772553441664
aisle-1-4,0.402,,normal,,1772553441664
aisle-5-8,0.211,,normal,,1772553441664
aisle-9-12,0.427,,normal,,1772553441664
pick-a,0.261,,normal,,1772553441664
pick-b,0.45,,normal,,1772553441664
pack,0.425,,normal,,1772553441664
stage-out,0.355,,normal,,1772553441664
dock-c,0.205,,normal,,1772553441664
dock-d,0.238,,normal,,1772553441664
dock-a,0.223,,normal,,1772553445664
dock-b,0.242,,normal,,1772553445664
stage-in,0.338,,normal,,1772553445664
aisle-1-4,0.42,,normal,,1772553445664
aisle-5-8,0.199,,normal,,1772553445664
aisle-9-12,0.496,15.6,normal,,1772553445664
pick-a,0.293,,normal,,1772553445664
pick-b,0.39,,normal,,1772553445664
pack,0.387,,normal,,1772553445664
stage-out,0.357,,normal,,1772553445664
dock-c,0.144,,normal,,1772553445664
dock-d,0.188,,normal,,1772553445664
dock-a,0.214,,normal,,1772553449664
dock-b,0.2,,normal,,1772553449664
stage-in,0.345,,normal,,1772553449664
aisle-1-4,0.393,,normal,,1772553449664
aisle-5-8,0.224,,normal,,1772553449664
aisle-9-12,0.539,14.5,elevated,,1772553449664
pick-a,0.315,,normal,,1772553449664
pick-b,0.395,,normal,,1772553449664
pack,0.39,,normal,,1772553449664
stage-out,0.449,,normal,,1772553449664
dock-c,0.165,,normal,,1772553449664
dock-d,0.143,,normal,,1772553449664
dock-a,0.167,,normal,,1772553453664
dock-b,0.216,,normal,,1772553453664
stage-in,0.255,,normal,,1772553453664
aisle-1-4,0.41,,normal,,1772553453664
aisle-5-8,0.177,,normal,,1772553453664
aisle-9-12,0.501,15.5,elevated,,1772553453664
pick-a,0.283,,normal,,1772553453664
pick-b,0.358,,normal,,1772553453664
pack,0.425,,normal,,1772553453664
stage-out,0.475,16.1,normal,,1772553453664
dock-c,0.156,,normal,,1772553453664
dock-d,0.215,,normal,,1772553453664
dock-a,0.211,,normal,,1772553457664
dock-b,0.185,,normal,,1772553457664
stage-in,0.274,,normal,,1772553457664
aisle-1-4,0.398,,normal,,1772553457664
aisle-5-8,0.198,,normal,,1772553457664
aisle-9-12,0.449,,normal,,1772553457664
pick-a,0.243,,normal,,1772553457664
pick-b,0.471,16.2,normal,,1772553457664
pack,0.433,,normal,,1772553457664
stage-out,0.514,15.2,elevated,,1772553457664
dock-c,0.201,,normal,,1772553457664
dock-d,0.165,,normal,,1772553457664
dock-a,0.195,,normal,,1772553461664
dock-b,0.24,,normal,,1772553461664
stage-in,0.362,,normal,,1772553461664
aisle-1-4,0.4,,normal,,1772553461664
aisle-5-8,0.112,,normal,,1772553461664
aisle-9-12,0.387,,normal,,1772553461664
pick-a,0.293,,normal,,1772553461664
pick-b,0.5,15.5,elevated,,1772553461664
pack,0.408,,normal,,1772553461664
stage-out,0.466,16.4,normal,,1772553461664
dock-c,0.206,,normal,,1772553461664
dock-d,0.226,,normal,,1772553461664
dock-a,0.165,,normal,,1772553465664
dock-b,0.2,,normal,,1772553465664
stage-in,0.354,,normal,,1772553465664
aisle-1-4,0.423,,normal,,1772553465664
aisle-5-8,0.172,,normal,,1772553465664
aisle-9-12,0.38,,normal,,1772553465664
pick-a,0.268,,normal,,1772553465664
pick-b,0.559,14.0,elevated,"{""add_workers"": 2, ""add_robots"": 1, ""from_zone"": ""auto""}",1772553465664
pack,0.37,,normal,,1772553465664
stage-out,0.451,16.7,normal,,1772553465664
dock-c,0.168,,normal,,1772553465664
dock-d,0.231,,normal,,1772553465664
dock-a,0.139,,normal,,1772553469664
dock-b,0.228,,normal,,1772553469664
stage-in,0.324,,normal,,1772553469664
aisle-1-4,0.429,,normal,,1772553469664
aisle-5-8,0.175,,normal,,1772553469664
aisle-9-12,0.404,,normal,,1772553469664
pick-a,0.209,,normal,,1772553469664
pick-b,0.543,14.4,elevated,,1772553469664
pack,0.337,,normal,,1772553469664
stage-out,0.395,,normal,,1772553469664
dock-c,0.168,,normal,,1772553469664
dock-d,0.242,,normal,,1772553469664
dock-a,0.178,,normal,,1772553473664
dock-b,0.231,,normal,,1772553473664
stage-in,0.311,,normal,,1772553473664
aisle-1-4,0.407,,normal,,1772553473664
aisle-5-8,0.298,,normal,,1772553473664
aisle-9-12,0.355,,normal,,1772553473664
pick-a,0.272,,normal,,1772553473664
pick-b,0.546,14.3,elevated,,1772553473664
pack,0.423,,normal,,1772553473664
stage-out,0.497,15.6,normal,,1772553473664
dock-c,0.171,,normal,,1772553473664
dock-d,0.268,,normal,,1772553473664
dock-a,0.144,,normal,,1772553477664
dock-b,0.192,,normal,,1772553477664
stage-in,0.228,,normal,,1772553477664
aisle-1-4,0.396,,normal,,1772553477664
aisle-5-8,0.224,,normal,,1772553477664
aisle-9-12,0.345,,normal,,1772553477664
pick-a,0.273,,normal,,1772553477664
pick-b,0.519,15.0,elevated,,1772553477664
pack,0.367,,normal,,1772553477664
stage-out,0.539,14.5,elevated,,1772553477664
dock-c,0.163,,normal,,1772553477664
dock-d,0.29,,normal,,1772553477664
dock-a,0.176,,normal,,1772553481664
dock-b,0.163,,normal,,1772553481664
stage-in,0.335,,normal,,1772553481664
aisle-1-4,0.347,,normal,,1772553481664
aisle-5-8,0.317,,normal,,1772553481664
aisle-9-12,0.41,,normal,,1772553481664
pick-a,0.273,,normal,,1772553481664
pick-b,0.525,14.9,elevated,,1772553481664
pack,0.338,,normal,,1772553481664
stage-out,0.557,14.1,elevated,"{""add_workers"": 2, ""add_robots"": 0, ""from_zone"": ""auto""}",1772553481664
dock-c,0.125,,normal,,1772553481664
dock-d,0.25,,normal,,1772553481664
dock-a,0.256,,normal,,1772553485664
