zone_id,throughput,utilization,queue,workers,robots,timestamp
stage-out,72,45.2,27,4,0,1772553285664
dock-c,60,55.8,19,8,0,1772553285664
dock-d,60,50.8,11,5,0,1772553285664
dock-a,55,54.0,4,5,0,1772553287664
dock-b,64,53.1,12,6,0,1772553287664
stage-in,87,64.7,11,7,0,1772553287664
aisle-1-4,86,64.7,23,6,0,1772553287664
aisle-5-8,77,52.5,9,2,4,1772553287664
aisle-9-12,75,57.2,3,2,3,1772553287664
pick-a,65,56.2,16,4,3,1772553287664
pick-b,71,50.2,16,3,3,1772553287664
pack,64,54.2,17,6,0,1772553287664
stage-out,69,47.0,24,4,0,1772553287664
dock-c,57,54.7,17,8,0,1772553287664
dock-d,63,51.8,11,5,0,1772553287664
dock-a,59,53.4,7,5,0,1772553289664
dock-b,69,54.3,11,6,0,1772553289664
stage-in,85,63.0,8,7,0,1772553289664
aisle-1-4,89,66.4,26,6,0,1772553289664
aisle-5-8,81,53.9,6,2,4,1772553289664
aisle-9-12,73,57.2,6,2,3,1772553289664
pick-a,61,55.5,17,4,3,1772553289664
pick-b,70,50.6,19,3,3,1772553289664
pack,63,52.4,16,6,0,1772553289664
stage-out,66,46.5,26,4,0,1772553289664
dock-c,53,53.4,14,8,0,1772553289664
dock-d,63,52.1,14,5,0,1772553289664
dock-a,64,51.6,7,5,0,1772553291664
dock-b,73,55.9,10,6,0,1772553291664
stage-in,81,61.4,8,7,0,1772553291664
aisle-1-4,92,67.1,25,6,0,1772553291664
aisle-5-8,77,52.4,9,2,4,1772553291664
aisle-9-12,69,57.6,5,2,3,1772553291664
pick-a,66,54.3,19,4,3,1772553291664
pick-b,72,51.3,22,3,3,1772553291664
pack,67,51.5,17,6,0,1772553291664
stage-out,64,47.8,23,4,0,1772553291664
dock-c,52,52.9,12,8,0,1772553291664
dock-d,68,53.2,13,5,0,1772553291664
dock-a,61,52.3,4,5,0,1772553293664
dock-b,77,57.2,13,6,0,1772553293664
stage-in,84,60.0,7,7,0,1772553293664
aisle-1-4,90,69.1,26,6,0,1772553293664
aisle-5-8,76,51.3,6,2,4,1772553293664
aisle-9-12,72,57.0,8,2,3,1772553293664
pick-a,63,53.1,17,4,3,1772553293664
pick-b,69,49.8,23,3,3,1772553293664
pack,69,52.1,20,6,0,1772553293664
stage-out,65,48.3,22,4,0,1772553293664
dock-c,57,53.6,14,8,0,1772553293664
dock-d,71,53.4,14,5,0,1772553293664
dock-a,65,51.7,3,5,0,1772553295664
dock-b,80,56.8,12,6,0,1772553295664
stage-in,81,61.0,7,7,0,1772553295664
aisle-1-4,88,68.5,23,6,0,1772553295664
aisle-5-8,78,50.4,8,2,4,1772553295664
aisle-9-12,70,57.8,8,2,3,1772553295664
pick-a,62,53.4,14,4,3,1772553295664
pick-b,69,49.3,25,3,3,1772553295664
pack,72,54.0,19,6,0,1772553295664
stage-out,62,49.0,23,4,0,1772553295664
dock-c,61,53.3,16,8,0,1772553295664
dock-d,70,53.3,15,5,0,1772553295664
dock-a,61,53.1,2,5,0,1772553297664
dock-b,78,56.1,10,6,0,1772553297664
stage-in,78,60.9,4,7,0,1772553297664
aisle-1-4,86,68.5,23,6,0,1772553297664
aisle-5-8,76,48.8,11,2,4,1772553297664
aisle-9-12,73,58.4,9,2,3,1772553297664
pick-a,65,54.3,15,4,3,1772553297664
pick-b,72,49.3,23,3,3,1772553297664
pack,74,53.3,16,6,0,1772553297664
stage-out,61,47.3,21,4,0,1772553297664
dock-c,60,52.8,15,8,0,1772553297664
dock-d,74,55.2,13,5,0,1772553297664
dock-a,63,52.8,1,5,0,1772553299664
dock-b,77,56.6,10,6,0,1772553299664
stage-in,75,61.1,2,7,0,1772553299664
aisle-1-4,84,69.6,24,6,0,1772553299664
aisle-5-8,77,47.6,9,2,4,1772553299664
aisle-9-12,70,57.8,10,2,3,1772553299664
pick-a,66,53.0,13,4,3,1772553299664
pick-b,77,50.8,26,3,3,1772553299664
pack,73,55.1,15,6,0,1772553299664
stage-out,66,48.1,23,4,0,1772553299664
dock-c,57,54.7,14,8,0,1772553299664
dock-d,71,55.4,12,5,0,1772553299664
dock-a,59,53.4,4,5,0,1772553301664
dock-b,82,56.5,8,6,0,1772553301664
stage-in,73,61.1,0,7,0,1772553301664
aisle-1-4,80,70.6,25,6,0,1772553301664
aisle-5-8,74,47.8,10,2,4,1772553301664
aisle-9-12,73,55.8,11,2,3,1772553301664
pick-a,71,53.3,10,4,3,1772553301664
pick-b,73,52.4,24,3,3,1772553301664
pack,77,55.3,17,6,0,1772553301664
stage-out,71,46.5,25,4,0,1772553301664
dock-c,56,53.2,11,8,0,1772553301664
dock-d,70,55.0,13,5,0,1772553301664
dock-a,61,51.5,2,5,0,1772553303664
dock-b,85,55.6,8,6,0,1772553303664
stage-in,70,63.1,0,7,0,1772553303664
aisle-1-4,85,71.9,25,6,0,1772553303664
aisle-5-8,72,49.0,11,2,4,1772553303664
aisle-9-12,69,57.5,12,2,3,1772553303664
pick-a,70,54.0,13,4,3,1772553303664
pick-b,73,53.6,24,3,3,1772553303664
pack,82,54.8,14,6,0,1772553303664
stage-out,76,45.0,23,4,0,1772553303664
dock-c,55,51.5,14,8,0,1772553303664
dock-d,69,54.8,15,5,0,1772553303664
dock-a,65,53.2,0,5,0,1772553305664
dock-b,85,54.7,8,6,0,1772553305664
stage-in,66,61.1,1,7,0,1772553305664
aisle-1-4,82,73.4,24,6,0,1772553305664
aisle-5-8,77,47.7,10,2,4,1772553305664
aisle-9-12,74,58.3,14,2,3,1772553305664
pick-a,68,52.3,13,4,3,1772553305664
pick-b,72,55.4,27,3,3,1772553305664
pack,78,55.9,17,6,0,1772553305664
stage-out,81,46.0,23,4,0,1772553305664
dock-c,59,52.9,13,8,0,1772553305664
dock-d,70,55.8,12,5,0,1772553305664
dock-a,65,54.9,0,5,0,1772553307664
dock-b,84,52.7,5,6,0,1772553307664
stage-in,63,61.6,1,7,0,1772553307664
aisle-1-4,85,71.5,23,6,0,1772553307664
aisle-5-8,74,46.2,7,2,4,1772553307664
aisle-9-12,70,58.2,12,2,3,1772553307664
pick-a,69,51.1,16,4,3,1772553307664
pick-b,72,56.1,25,3,3,1772553307664
pack,77,55.7,19,6,0,1772553307664
stage-out,80,47.7,23,4,0,1772553307664
dock-c,60,52.4,12,8,0,1772553307664
dock-d,75,54.2,14,5,0,1772553307664
dock-a,69,53.6,3,5,0,1772553309664
dock-b,84,51.4,6,6,0,1772553309664
stage-in,60,60.7,2,7,0,1772553309664
aisle-1-4,86,72.9,23,6,0,1772553309664
aisle-5-8,71,46.2,6,2,4,1772553309664
aisle-9-12,72,57.5,15,2,3,1772553309664
pick-a,73,50.4,18,4,3,1772553309664
pick-b,75,58.1,28,3,3,1772553309664
pack,82,57.5,20,6,0,1772553309664
stage-out,79,48.3,20,4,0,1772553309664
dock-c,62,50.9,10,8,0,1772553309664
dock-d,78,56.0,12,5,0,1772553309664
dock-a,69,52.4,1,5,0,1772553311664
dock-b,88,52.8,3,6,0,1772553311664
stage-in,61,62.0,0,7,0,1772553311664
aisle-1-4,89,71.4,24,6,0,1772553311664
aisle-5-8,76,47.5,4,2,4,1772553311664
aisle-9-12,70,58.6,12,2,3,1772553311664
pick-a,76,48.9,17,4,3,1772553311664
pick-b,77,59.8,27,3,3,1772553311664
pack,81,59.4,17,6,0,1772553311664
stage-out,80,49.4,17,4,0,1772553311664
dock-c,63,50.3,12,8,0,1772553311664
dock-d,74,57.3,11,5,0,1772553311664
dock-a,68,53.7,4,5,0,1772553313664
dock-b,84,51.4,3,6,0,1772553313664
stage-in,63,61.8,1,7,0,1772553313664
aisle-1-4,94,69.9,25,6,0,1772553313664
aisle-5-8,74,46.6,3,2,4,1772553313664
aisle-9-12,66,57.7,10,2,3,1772553313664
pick-a,80,47.8,16,4,3,1772553313664
pick-b,75,61.7,24,3,3,1772553313664
pack,86,58.7,14,6,0,1772553313664
stage-out,76,51.1,20,4,0,1772553313664
dock-c,63,48.8,13,8,0,1772553313664
dock-d,77,57.7,11,5,0,1772553313664
dock-a,71,53.2,2,5,0,1772553315664
dock-b,86,50.4,1,6,0,1772553315664
stage-in,62,63.7,0,7,0,1772553315664
aisle-1-4,92,69.3,28,6,0,1772553315664
aisle-5-8,72,45.0,1,2,4,1772553315664
aisle-9-12,69,56.8,12,2,3,1772553315664
pick-a,80,45.8,15,4,3,1772553315664
pick-b,76,60.1,26,3,3,1772553315664
pack,84,59.7,14,6,0,1772553315664
stage-out,79,52.8,18,4,0,1772553315664
dock-c,68,47.1,10,8,0,1772553315664
dock-d,79,58.1,14,5,0,1772553315664
dock-a,71,53.5,2,5,0,1772553317664
dock-b,83,50.2,0,6,0,1772553317664
stage-in,64,62.7,0,7,0,1772553317664
aisle-1-4,96,68.1,28,6,0,1772553317664
aisle-5-8,77,46.4,3,2,4,1772553317664
aisle-9-12,67,58.7,12,2,3,1772553317664
pick-a,81,45.7,14,4,3,1772553317664
pick-b,78,59.2,28,3,3,1772553317664
pack,83,61.3,16,6,0,1772553317664
stage-out,82,51.1,17,4,0,1772553317664
dock-c,67,48.1,8,8,0,1772553317664
dock-d,82,57.8,16,5,0,1772553317664
dock-a,68,53.5,1,5,0,1772553319664
dock-b,87,48.7,2,6,0,1772553319664
stage-in,66,62.6,0,7,0,1772553319664
aisle-1-4,93,69.2,26,6,0,1772553319664
aisle-5-8,74,47.3,1,2,4,1772553319664
aisle-9-12,70,57.3,13,2,3,1772553319664
pick-a,83,45.5,13,4,3,1772553319664
pick-b,81,58.5,26,3,3,1772553319664
pack,80,61.2,17,6,0,1772553319664
stage-out,82,53.1,20,4,0,1772553319664
dock-c,64,50.0,8,8,0,1772553319664
dock-d,82,57.6,18,5,0,1772553319664
dock-a,69,54.4,0,5,0,1772553321664
dock-b,92,50.4,1,6,0,1772553321664
stage-in,69,63.5,0,7,0,1772553321664
aisle-1-4,93,71.2,25,6,0,1772553321664
aisle-5-8,77,47.8,0,2,4,1772553321664
aisle-9-12,70,58.3,14,2,3,1772553321664
pick-a,81,44.5,11,4,3,1772553321664
pick-b,85,57.2,27,3,3,1772553321664
pack,83,61.3,17,6,0,1772553321664
stage-out,80,55.1,18,4,0,1772553321664
dock-c,65,51.4,11,8,0,1772553321664
dock-d,82,58.5,16,5,0,1772553321664
dock-a,66,53.3,2,5,0,1772553323664
dock-b,90,51.2,1,6,0,1772553323664
stage-in,73,63.4,1,7,0,1772553323664
aisle-1-4,96,70.1,24,6,0,1772553323664
aisle-5-8,82,49.5,2,2,4,1772553323664
aisle-9-12,75,60.3,11,2,3,1772553323664
pick-a,86,44.8,13,4,3,1772553323664
pick-b,84,58.6,28,3,3,1772553323664
pack,83,61.3,18,6,0,1772553323664
stage-out,81,55.5,19,4,0,1772553323664
dock-c,64,50.6,9,8,0,1772553323664
dock-d,80,59.5,13,5,0,1772553323664
dock-a,63,53.7,4,5,0,1772553325664
dock-b,86,51.7,0,6,0,1772553325664
stage-in,70,63.2,2,7,0,1772553325664
aisle-1-4,92,70.9,24,6,0,1772553325664
aisle-5-8,79,48.9,1,2,4,1772553325664
aisle-9-12,79,60.6,12,2,3,1772553325664
pick-a,87,43.0,11,4,3,1772553325664
pick-b,86,57.1,26,3,3,1772553325664
pack,85,61.9,18,6,0,1772553325664
stage-out,83,55.8,22,4,0,1772553325664
dock-c,66,49.5,8,8,0,1772553325664
dock-d,76,59.0,16,5,0,1772553325664
dock-a,64,54.0,3,5,0,1772553327664
dock-b,88,51.1,0,6,0,1772553327664
stage-in,67,62.5,2,7,0,1772553327664
aisle-1-4,90,70.0,25,6,0,1772553327664
aisle-5-8,80,48.4,1,2,4,1772553327664
aisle-9-12,80,62.5,12,2,3,1772553327664
pick-a,87,41.8,12,4,3,1772553327664
pick-b,91,57.5,28,3,3,1772553327664
pack,90,60.8,20,6,0,1772553327664
stage-out,86,57.5,25,4,0,1772553327664
dock-c,62,48.7,8,8,0,1772553327664
dock-d,78,57.2,19,5,0,1772553327664
dock-a,65,54.7,1,5,0,1772553329664
dock-b,90,52.1,3,6,0,1772553329664
stage-in,65,63.8,2,7,0,1772553329664
aisle-1-4,87,68.8,22,6,0,1772553329664
aisle-5-8,81,47.0,1,2,4,1772553329664
aisle-9-12,80,63.3,14,2,3,1772553329664
pick-a,92,43.8,13,4,3,1772553329664
pick-b,88,58.4,30,3,3,1772553329664
pack,93,61.8,17,6,0,1772553329664
stage-out,88,57.2,23,4,0,1772553329664
dock-c,63,47.8,9,8,0,1772553329664
dock-d,83,55.7,21,5,0,1772553329664
dock-a,61,56.2,4,5,0,1772553331664
dock-b,87,53.5,2,6,0,1772553331664
stage-in,61,65.3,0,7,0,1772553331664
aisle-1-4,88,68.1,23,6,0,1772553331664
aisle-5-8,78,46.6,0,2,4,1772553331664
aisle-9-12,84,62.2,15,2,3,1772553331664
pick-a,97,45.4,10,4,3,1772553331664
pick-b,88,58.8,30,3,3,1772553331664
pack,92,61.0,20,6,0,1772553331664
stage-out,87,55.9,23,4,0,1772553331664
dock-c,59,46.7,6,8,0,1772553331664
dock-d,88,54.5,22,5,0,1772553331664
dock-a,65,57.4,6,5,0,1772553333664
dock-b,90,52.8,0,6,0,1772553333664
stage-in,62,65.1,3,7,0,1772553333664
aisle-1-4,92,69.3,22,6,0,1772553333664
aisle-5-8,76,46.3,0,2,4,1772553333664
aisle-9-12,87,63.9,17,2,3,1772553333664
pick-a,100,47.1,13,4,3,1772553333664
pick-b,93,58.8,29,3,3,1772553333664
pack,90,60.4,18,6,0,1772553333664
stage-out,84,57.7,20,4,0,1772553333664
dock-c,64,48.0,3,8,0,1772553333664
dock-d,90,54.6,24,5,0,1772553333664
dock-a,70,58.9,5,5,0,1772553335664
dock-b,95,53.1,0,6,0,1772553335664
stage-in,64,64.0,6,7,0,1772553335664
aisle-1-4,92,70.1,21,6,0,1772553335664
aisle-5-8,77,47.5,0,2,4,1772553335664
aisle-9-12,88,64.7,20,2,3,1772553335664
pick-a,103,46.5,16,4,3,1772553335664
pick-b,93,59.1,26,3,3,1772553335664
pack,90,60.8,17,6,0,1772553335664
stage-out,81,58.8,22,4,0,1772553335664
dock-c,64,46.5,0,8,0,1772553335664
dock-d,87,52.7,25,5,0,1772553335664
dock-a,74,60.6,8,5,0,1772553337664
dock-b,97,53.4,0,6,0,1772553337664
stage-in,69,65.2,6,6,0,1772553337664
aisle-1-4,91,70.1,22,6,1,1772553337664
aisle-5-8,79,47.2,1,2,3,1772553337664
aisle-9-12,92,63.5,20,2,3,1772553337664
pick-a,108,45.6,18,4,2,1772553337664
pick-b,91,60.1,28,3,3,1772553337664
pack,95,62.7,14,6,0,1772553337664
stage-out,82,57.1,23,4,0,1772553337664
dock-c,66,46.5,0,7,0,1772553337664
dock-d,85,52.8,25,5,0,1772553337664
dock-a,71,60.2,5,5,0,1772553339664
dock-b,100,52.3,0,6,0,1772553339664
stage-in,74,66.9,7,6,0,1772553339664
aisle-1-4,92,68.3,21,6,1,1772553339664
aisle-5-8,82,47.4,0,2,3,1772553339664
aisle-9-12,93,62.9,22,2,3,1772553339664
pick-a,110,44.0,19,4,2,1772553339664
pick-b,89,61.1,27,3,3,1772553339664
pack,91,64.1,12,6,0,1772553339664
stage-out,86,58.3,23,4,0,1772553339664
dock-c,64,46.2,3,7,0,1772553339664
dock-d,85,54.3,22,5,0,1772553339664
dock-a,73,59.5,8,5,0,1772553341664
dock-b,96,52.4,0,6,0,1772553341664
stage-in,70,65.9,6,6,0,1772553341664
aisle-1-4,97,66.6,21,6,1,1772553341664
aisle-5-8,78,47.3,0,2,3,1772553341664
aisle-9-12,89,64.2,22,2,3,1772553341664
pick-a,111,44.6,19,4,2,1772553341664
pick-b,94,60.1,25,3,3,1772553341664
pack,89,65.1,11,6,0,1772553341664
stage-out,82,56.4,20,4,0,1772553341664
dock-c,69,47.4,2,7,0,1772553341664
dock-d,84,53.9,23,5,0,1772553341664
dock-a,75,60.4,11,5,0,1772553343664
dock-b,99,51.8,3,6,0,1772553343664
stage-in,71,64.9,8,6,0,1772553343664
aisle-1-4,95,65.3,19,6,1,1772553343664
aisle-5-8,80,45.3,3,2,3,1772553343664
aisle-9-12,94,63.2,25,2,3,1772553343664
pick-a,111,44.4,20,4,2,1772553343664
pick-b,96,60.4,27,3,3,1772553343664
pack,88,63.7,8,6,0,1772553343664
stage-out,83,55.0,22,4,0,1772553343664
dock-c,74,46.8,5,7,0,1772553343664
dock-d,86,52.2,26,5,0,1772553343664
dock-a,78,60.9,12,5,0,1772553345664
dock-b,103,51.2,2,6,0,1772553345664
stage-in,75,65.9,5,6,0,1772553345664
aisle-1-4,99,65.3,19,6,1,1772553345664
aisle-5-8,80,45.7,5,2,3,1772553345664
aisle-9-12,90,64.8,26,2,3,1772553345664
pick-a,111,42.7,18,4,2,1772553345664
pick-b,97,62.0,27,3,3,1772553345664
pack,86,62.9,6,6,0,1772553345664
stage-out,82,53.1,20,4,0,1772553345664
dock-c,74,46.2,7,7,0,1772553345664
dock-d,86,53.5,27,5,0,1772553345664
dock-a,78,59.7,13,5,0,1772553347664
dock-b,108,52.9,0,6,0,1772553347664
stage-in,77,67.3,5,6,0,1772553347664
aisle-1-4,99,65.3,21,6,1,1772553347664
aisle-5-8,76,45.1,7,2,3,1772553347664
aisle-9-12,93,63.2,27,2,3,1772553347664
pick-a,116,42.3,16,4,2,1772553347664
pick-b,93,61.7,26,3,3,1772553347664
pack,89,63.7,6,6,0,1772553347664
stage-out,79,52.0,22,4,0,1772553347664
dock-c,78,44.3,5,7,0,1772553347664
dock-d,90,53.5,26,5,0,1772553347664
dock-a,76,59.7,11,5,0,1772553349664
dock-b,108,52.2,0,6,0,1772553349664
stage-in,79,67.6,3,6,0,1772553349664
aisle-1-4,100,66.9,18,6,1,1772553349664
aisle-5-8,79,43.4,4,2,3,1772553349664
aisle-9-12,90,63.5,25,2,3,1772553349664
pick-a,114,40.6,14,4,2,1772553349664
pick-b,90,61.5,24,3,3,1772553349664
pack,91,64.6,4,6,0,1772553349664
stage-out,77,53.5,24,4,0,1772553349664
dock-c,82,46.3,2,7,0,1772553349664
dock-d,86,51.6,23,5,0,1772553349664
dock-a,81,59.0,10,5,0,1772553351664
dock-b,104,52.3,2,6,0,1772553351664
stage-in,82,66.6,2,6,0,1772553351664
aisle-1-4,96,65.8,17,6,1,1772553351664
aisle-5-8,81,43.2,3,2,3,1772553351664
aisle-9-12,93,65.0,23,2,3,1772553351664
pick-a,116,41.3,11,4,2,1772553351664
pick-b,90,59.8,22,3,3,1772553351664
pack,89,64.1,3,6,0,1772553351664
stage-out,79,54.8,22,4,0,1772553351664
dock-c,78,46.8,3,7,0,1772553351664
dock-d,86,52.5,23,5,0,1772553351664
dock-a,78,60.1,11,5,0,1772553353664
dock-b,100,50.9,3,6,0,1772553353664
stage-in,80,67.8,3,6,0,1772553353664
aisle-1-4,100,65.9,16,6,1,1772553353664
aisle-5-8,80,43.1,6,2,3,1772553353664
aisle-9-12,91,66.8,20,2,3,1772553353664
pick-a,120,40.1,13,4,2,1772553353664
pick-b,87,60.0,24,3,3,1772553353664
pack,90,65.7,5,6,0,1772553353664
stage-out,82,54.0,20,4,0,1772553353664
dock-c,74,48.7,4,7,0,1772553353664
dock-d,89,51.1,25,5,0,1772553353664
dock-a,74,59.1,13,5,0,1772553355664
dock-b,102,52.0,6,6,0,1772553355664
stage-in,84,66.2,1,6,0,1772553355664
aisle-1-4,96,67.0,13,6,1,1772553355664
aisle-5-8,78,44.9,7,2,3,1772553355664
aisle-9-12,89,66.2,20,2,3,1772553355664
pick-a,125,40.3,16,4,2,1772553355664
pick-b,86,58.7,27,3,3,1772553355664
pack,90,66.5,7,6,0,1772553355664
stage-out,82,53.5,22,4,0,1772553355664
dock-c,76,50.1,6,7,0,1772553355664
dock-d,93,51.7,25,5,0,1772553355664
dock-a,73,57.5,13,5,0,1772553357664
dock-b,106,53.4,9,6,0,1772553357664
stage-in,80,65.3,4,6,0,1772553357664
aisle-1-4,93,68.2,12,6,1,1772553357664
aisle-5-8,75,44.6,7,2,3,1772553357664
aisle-9-12,94,65.5,18,2,3,1772553357664
pick-a,130,38.9,13,4,2,1772553357664
pick-b,90,57.1,29,3,3,1772553357664
pack,87,67.2,6,6,0,1772553357664
stage-out,84,52.5,23,4,0,1772553357664
dock-c,80,48.3,7,7,0,1772553357664
dock-d,97,52.1,22,5,0,1772553357664
dock-a,76,55.7,13,5,0,1772553359664
dock-b,109,52.4,10,6,0,1772553359664
stage-in,84,67.0,5,6,0,1772553359664
aisle-1-4,91,69.9,10,6,1,1772553359664
aisle-5-8,73,44.7,4,2,3,1772553359664
aisle-9-12,90,64.1,21,2,3,1772553359664
pick-a,130,40.6,11,4,2,1772553359664
pick-b,90,57.8,30,3,3,1772553359664
pack,87,68.7,6,6,0,1772553359664
stage-out,81,52.7,21,4,0,1772553359664
dock-c,78,47.6,4,7,0,1772553359664
dock-d,100,51.9,19,5,0,1772553359664
dock-a,80,55.1,13,5,0,1772553361664
dock-b,109,50.8,10,6,0,1772553361664
stage-in,87,65.9,2,6,0,1772553361664
aisle-1-4,90,69.5,10,6,1,1772553361664
aisle-5-8,70,46.0,5,2,3,1772553361664
aisle-9-12,94,63.9,24,2,3,1772553361664
pick-a,129,40.4,14,4,2,1772553361664
pick-b,94,58.7,30,3,3,1772553361664
pack,87,68.2,8,6,0,1772553361664
stage-out,83,53.4,21,4,0,1772553361664
dock-c,77,46.1,3,7,0,1772553361664
dock-d,97,52.7,21,5,0,1772553361664
dock-a,77,55.9,11,5,0,1772553363664
dock-b,114,51.2,8,6,0,1772553363664
stage-in,85,64.6,0,6,0,1772553363664
aisle-1-4,95,68.7,10,6,1,1772553363664
aisle-5-8,74,44.2,8,2,3,1772553363664
aisle-9-12,90,62.1,21,2,3,1772553363664
pick-a,130,40.2,13,4,2,1772553363664
pick-b,96,59.3,28,3,3,1772553363664
pack,89,68.3,7,6,0,1772553363664
stage-out,85,53.5,23,4,0,1772553363664
dock-c,73,47.2,0,7,0,1772553363664
dock-d,102,53.2,22,5,0,1772553363664
dock-a,82,55.9,9,5,0,1772553365664
dock-b,114,51.4,6,6,0,1772553365664
stage-in,90,62.8,0,6,0,1772553365664
aisle-1-4,96,66.8,9,6,1,1772553365664
aisle-5-8,77,43.0,10,2,3,1772553365664
aisle-9-12,92,62.6,19,2,3,1772553365664
pick-a,126,39.6,11,4,2,1772553365664
pick-b,97,60.3,28,3,3,1772553365664
pack,87,66.8,5,6,0,1772553365664
stage-out,88,51.6,26,4,0,1772553365664
dock-c,70,49.0,0,7,0,1772553365664
dock-d,100,53.9,23,5,0,1772553365664
dock-a,86,54.9,8,5,0,1772553367664
dock-b,118,52.9,3,6,0,1772553367664
stage-in,92,60.9,1,6,0,1772553367664
aisle-1-4,98,67.8,11,6,1,1772553367664
aisle-5-8,73,43.5,8,2,3,1772553367664
aisle-9-12,91,60.7,19,2,3,1772553367664
pick-a,129,38.3,11,4,2,1772553367664
pick-b,95,60.7,29,3,3,1772553367664
pack,90,66.2,4,6,0,1772553367664
stage-out,89,50.5,29,4,0,1772553367664
dock-c,68,50.6,2,7,0,1772553367664
dock-d,104,52.4,26,5,0,1772553367664
dock-a,86,56.5,7,5,0,1772553369664
dock-b,122,54.6,1,6,0,1772553369664
stage-in,93,60.7,2,6,0,1772553369664
aisle-1-4,103,68.6,10,6,1,1772553369664
aisle-5-8,77,43.9,9,2,3,1772553369664
aisle-9-12,94,59.3,16,2,3,1772553369664
pick-a,125,38.4,11,4,2,1772553369664
pick-b,97,59.9,29,3,3,1772553369664
pack,88,66.4,5,6,0,1772553369664
stage-out,90,51.2,26,4,0,1772553369664
dock-c,72,52.4,1,7,0,1772553369664
dock-d,105,51.4,29,5,0,1772553369664
dock-a,86,55.9,6,5,0,1772553371664
dock-b,123,53.3,4,6,0,1772553371664
stage-in,97,61.7,0,6,0,1772553371664
aisle-1-4,100,67.8,13,6,1,1772553371664
aisle-5-8,74,42.2,11,2,3,1772553371664
aisle-9-12,91,57.5,18,2,3,1772553371664
pick-a,126,37.8,13,4,2,1772553371664
pick-b,100,60.8,30,3,3,1772553371664
pack,88,65.2,7,6,0,1772553371664
stage-out,89,52.4,23,4,0,1772553371664
dock-c,71,51.0,0,7,0,1772553371664
dock-d,107,52.1,27,5,0,1772553371664
dock-a,90,56.4,7,5,0,1772553373664
dock-b,128,54.3,4,6,0,1772553373664
stage-in,98,60.1,0,6,0,1772553373664
aisle-1-4,102,67.0,12,6,1,1772553373664
aisle-5-8,75,42.9,11,2,3,1772553373664
aisle-9-12,87,56.4,18,2,3,1772553373664
pick-a,128,36.3,13,4,2,1772553373664
pick-b,99,61.1,30,3,3,1772553373664
pack,90,66.4,6,6,0,1772553373664
stage-out,86,52.3,26,4,0,1772553373664
dock-c,73,51.6,2,7,0,1772553373664
dock-d,108,52.0,24,5,0,1772553373664
dock-a,93,56.2,8,5,0,1772553375664
dock-b,128,54.6,2,6,0,1772553375664
stage-in,94,58.3,0,6,0,1772553375664
